iso_code,location,total_tests_per_thousand,Z-score （HD),Log-tests, health expenditure per capita,total_tests_per_thousand,Log Health expen,Log-tests
SRB,Serbia,537.869,-0.178388059,2.730676515,641.0250244,537.869,2.806874984,2.730676515
JOR,Jordan,583.276,-0.13611856,2.765874107,334.04422,583.276,2.523803961,2.765874107
BLR,Belarus,592.66,-0.127382969,2.772805617,399.3970947,592.66,2.601404901,2.772805617
GGY,Guernsey,,-0.679091762,,,,,
AUS,Australia,632.153,-0.090618829,2.800822203,5427.462402,632.153,3.734596824,2.800822203
GIB,Gibraltar,,-0.679091762,,,,,
CHL,Chile,637.079,-0.086033202,2.80419329,1375.802979,637.079,3.138556245,2.80419329
GEO,Georgia,645.601,-0.078100049,2.809964194,291.1220398,645.601,2.464075086,2.809964194
NLD,Netherlands,677.663,-0.048253447,2.831013774,5335.30127,677.663,3.727158948,2.831013774
CHE,Switzerland,716.588,-0.012018059,2.855269531,9666.337891,716.588,,2.855269531
GRC,Greece,717.032,-0.011604738,2.855538538,1500.594971,717.032,3.176263487,2.855538538
MNG,Mongolia,766.624,0.034560588,2.884582411,163.441864,766.624,2.213363307,2.884582411
GRL,Greenland,,-0.679091762,,,,,
SWE,Sweden,781.985,0.048860185,2.893198423,5671.385742,781.985,3.753689187,2.893198423
GUM,Guam,576.894,-0.142059581,2.761096022,,576.894,,2.761096022
FIN,Finland,784.466,0.051169754,2.894574125,4450.302734,784.466,3.648389555,2.894574125
HKG,Hong Kong,,-0.679091762,,,,,
CAN,Canada,788.192,0.054638298,2.896632023,5048.372559,788.192,3.703151397,2.896632023
ESP,Spain,833.538,0.096851011,2.920925404,2711.192871,833.538,3.433160414,2.920925404
BTN,Bhutan,858.916,0.12047546,2.933950693,115.9807587,858.916,2.064385945,2.933950693
IRL,Ireland,862.063,0.123405011,2.935539005,5428.588867,862.063,3.734686952,2.935539005
RUS,Russia,870.228,0.131005831,2.939633053,653.4172363,870.228,2.815190586,2.939633053
IMN,Isle of Man,,-0.679091762,,,,,
ISL,Iceland,889.306,0.148765593,2.949051222,6274.959473,889.306,3.797610925,2.949051222
NOR,Norway,913.762,0.171531749,2.960833093,8007.397949,913.762,3.903491412,2.960833093
ITA,Italy,932.493,0.188968488,2.96964558,2905.5,932.493,3.46322088,2.96964558
EST,Estonia,941.147,0.19702452,2.973657462,1598.818848,941.147,3.203799259,2.973657462
LTU,Lithuania,958.396,0.21308166,2.981544992,1369.979492,958.396,3.136714066,2.981544992
PRT,Portugal,958.946,0.213593657,2.981794152,2221.439209,958.946,3.346634433,2.981794152
BEL,Belgium,1039.967,0.289016324,3.017019559,4960.393555,1039.967,3.695516135,3.017019559
FRA,France,1072.863,0.3196393,3.030544268,4491.735352,1072.863,3.65241416,3.030544268
JEY,Jersey,,-0.679091762,,,,,
LVA,Latvia,1109.239,0.353501816,3.045025131,1166.797852,1109.239,3.066995621,3.045025131
USA,United States,1213.395,0.450460917,3.084002201,10921.0127,1213.395,4.038262912,3.084002201
MDV,Maldives,1336.228,0.564806489,3.125880568,854.3706055,1336.228,2.931646298,3.125880568
CZE,Czechia,1582.054,0.793646575,3.199221303,1844.217773,1582.054,3.265812203,3.199221303
ISR,Israel,1598.966,0.809390002,3.203839229,3456.386963,1598.966,3.538622358,3.203839229
MLT,Malta,1609.083,0.818807944,3.206578447,2531.910889,1609.083,3.403448416,3.206578447
GBR,United Kingdom,2024.169,1.205212622,3.306246769,4312.88916,2024.169,3.634768297,3.306246769
AND,Andorra,2240.542,1.406634831,3.350353089,2744.194336,2240.542,,3.350353089
BHR,Bahrain,2667.399,1.803997164,3.426087984,940.3956909,2667.399,2.97331063,3.426087984
AUT,Austria,3251.993,2.348197296,3.512149602,5242.183105,3251.993,3.719512186,3.512149602
LUX,Luxembourg,4035.811,3.077855587,3.60593082,6220.741211,4035.811,,3.60593082
DNK,Denmark,4304.21,3.32770894,3.633893452,6003.325195,4304.21,3.778391869,3.633893452
LBY,Libya,,-0.679091762,,,,,
ARE,United Arab Emirates,4480.768,3.492067259,3.651352458,1842.694458,4480.768,3.26545333,3.651352458
LIE,Liechtenstein,975.742,0.229229099,2.989334999,,975.742,,2.989334999
CYP,Cyprus,5202.106,4.163562749,3.716179197,1996.458252,5202.106,3.300260233,3.716179197
SVK,Slovakia,5829.823,4.747906198,3.765655369,1342.074829,5829.823,3.127776731,3.765655369
AFG,Afghanistan,,-0.679091762,,65.80603027,,1.818265693,
